CUSTOM_ID;NAME;ALIAS;DESCRIPTION;LOCATION_ADDRESS;MUNICIPALITY;LATITUDE;LONGITUDE;SUBESTACION
1,26E+14;RT;RIO TULUA 34.5 KV;S/E RIO TULUA 34.5 KV;TULUA;TULUA, VAC;4,043824;-76,12085;RIO TULUA 
1,26E+14;CSFL;CELSIA SOLAR FLANDES 34,5 KV;S/E CELSIA SOLAR FLANDES 34,5 KV;S/E CELSIA SOLAR FLANDES 34,5 KV;FLANDES, TOL;4,242883;-74,871084;CELSIA SOLAR FLANDES
1,26E+14;CSDU;CELSIA SOLAR DULIMA  34,5 KV;S/E CELSIA SOLAR DULIMA  34,5 KV;S/E CELSIA SOLAR DULIMA  34,5 KV;FLANDES, TOL;4,249349;-74,857074;CELSIA SOLAR DULIMA 
1,26E+14;CSYA;CELSIA SOLAR YUMA 34,5 KV;S/E CELSIA SOLAR YUMA 34,5 KV;S/E CELSIA SOLAR YUMA 34,5 KV;FLANDES, TOL;4,25477;-74,858248;CELSIA SOLAR YUMA
1,26E+14;BHA;BAHIA 34.5kV;S/E BAHIA 34.5 kV;CORREGIMIENTO CORDOBA;BUENAVENTURA, VAC;3,889364;-76,973317;BAHIA
1,26E+14;TSC;GRANJA SOLAR CERRITOS 34.5 KV;S/E GRANJA SOLAR CERRITOS 34,5 KV;S/E GRANJA SOLAR CERRITOS - VDA LOS CAUCHOS;MARIQUITA, TOL;5,203861;-74,869125;GRANJA SOLAR CERRITOS 
1,26E+14;CSLV2;CELSIA SOLAR LA VICTORIA 2 34.5 KV;S/E CELSIA SOLAR LA VICTORIA 2 34.5 KV;LA VICTORIA;LA VICTORIA, VAC;4,461961;-76,027606;CELSIA SOLAR LA VICTORIA 2 
1,26E+14;CSLV1;CELSIA SOLAR LA VICTORIA 1 34.5 KV;S/E CELSIA SOLAR LA VICTORIA 1 34.5 KV;LA VICTORIA;LA VICTORIA, VAC;4,463544;-76,032589;CELSIA SOLAR LA VICTORIA 1 
1,26E+14;CP1;CELSIA SOLAR PALMIRA 1 34.5 KV;S/E CELSIA SOLAR PALMIRA 1 34.5 KV;PALMIRA;PALMIRA, VAC;3,588505;-76,428989;CELSIA SOLAR PALMIRA 1 
1,26E+14;ETB;ESTAMBUL;S/E ESTAMBUL 115 kV/34.5 kV/13.2kV;PALMIRA;PALMIRA, VAC;3,486639;-76,4665;ESTAMBUL
1,26E+14;CRL;CRISTAL;S/E CRISTAL 34.5 KV;GUACARI;GUACARI, VAC;3,780316;-76,331737;CRISTAL
1,26E+14;TQM;TECNOQUIMICAS 34.5 KV;S/E TECNOQUIMICAS 34.5 KV;TECNOQUIMICAS JAMUNDI;JAMUNDI, VAC;3,276745;-76,53329;TECNOQUIMICAS 
1,26E+14;EBL;EL BOLO 34.5;S/E EL BOLO 34.5;SUBESTACION EL BOLO - CANDELARIA;CANDELARIA, VAC;3,433464;-76,348308;EL BO
1,26E+14;ESO;EL SALTO 34.5 KV;S/E EL SALTO 34.5 KV;CRA NACIONAL VTE A MARIQUITA;HONDA, TOL;5,203786;-74,749192;EL SALTO 
1,26E+14;CST;CELSIA SOLAR PUERTO TEJADA 34.5KV;S/E CELSIA SOLAR PUERTO TEJADA 34.5KV;PUERTO TEJADA;PUERTO TEJADA, CAU;3,244919;-76,396763;CELSIA SOLAR PUERTO TEJADA
1,26E+14;CAS;CELSIA SOLAR ALPINA;S/E CELSIA SOLAR ALPINA SOPO;CABAÑA ALPINA, SOPO;TOCANCIPA, CUN;4,917221;-73,943963;CELSIA SOLAR PUERTO TEJADA
1,26E+14;CND;CANDELARIA 115 KV;S/E CANDELARIA 115 KV;CANDELARIA;CANDELARIA, VAC;3,392941;-76,353392;CANDELARIA 
1,26E+14;PLG;PALOGRANDE 34.5 KV;S/E PALOGRANDE 34.5 KV;SANTIAGO DE CALI-CGTO PANCE;SANTIAGO DE CALI, VAC;3,326308;-76,554342;PALOGRANDE 
1,26E+14;SMA;SAN MARCOS 220 KV;S/E SAN MARCOS 220 KV;YUMBO;YUMBO, VAC;3,606898;-76,485625;SAN MARCOS 
1,26E+14;RES;RESTREPO 34.5 KV;S/E RESTREPO 34.5 KV;CL 19 8 29;RESTREPO, VAC;3,825517;-76,520938;RESTREPO 
1,26E+14;ZAR;ZARZAL 115 KV;S/E ZARZAL 115 KV;ZARZAL;ZARZAL, VAC;4,389394;-76,063863;ZARZAL 
1,26E+14;CSP;CELSIA SOLAR LA PAILA 34.5 KV;S/E CELSIA SOLAR LA PAILA 34.5 KV;VALLE-ZARZAL-A-3.9KM-SUB-LA-PAILA;ZARZAL, VAC;4,287461;-76,085965;CELSIA SOLAR LA PAILA 
1,26E+14;GIN;GINEBRA 34.5 KV;S/E GINEBRA 34.5 KV;GINEBRA;GINEBRA, VAC;3,72389;-76,314431;GINEBRA 
1,26E+14;VAR;LA VARIANTE 34.5 KV;S/E LA VARIANTE 34.5 KV;CARRETERA PANORAMA VARIANTE TULUA;TULUA, VAC;4,082771;-76,186035;LA VARIANTE 
1,26E+14;PRD;PRODESAL 115 KV;S/E PRODESAL 115 KV;CGTO MATAPALO;PALMIRA, VAC;3,557345;-76,430837;PRODESAL 
1,26E+14;CH;CHAPETON 34.5 KV;S/E CHAPETON 34.5 KV;CRA 2 CLL4B SUR;HONDA, TOL;4,4597;-75,27088;CHAPETON 
1,26E+14;PL;PLANADAS 34.5 KV;S/E PLANADAS 34.5 KV;VIA PLANADAS-GAITANIA;PLANADAS, TOL;3,189012;-75,644142;PLANADAS 
